AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2020,2,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13442,MARÍA LA BAJA,N,13442005,ÑANGUMA,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73148,CARMEN DE APICALÁ,S,73148001,CARMEN DE APICALÁ,S,S,S,N,S,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15,BOYACÁ,15580,QUÍPAMA,S,15580001,QUÍPAMA,S,S,S,N,N,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13,BOLÍVAR,13442,MARÍA LA BAJA,S,13442001,MARÍA LA BAJA,S,S,S,N,S,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52835,TUMACO - SAN ANDRES DE TUMACO,N,52835123,KILÓMETRO 58,N,N,N,N,N,N
2020,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,13,BOLÍVAR,13052,ARJONA,S,13052001,ARJONA,N,N,N,N,S,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,N,76111027,SAN ANTONIO,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13188,CICUCO,N,13188006,BODEGA,S,S,S,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,N,13244004,JESÚS DEL MONTE,N,N,N,N,N,N
2020,3,AVANTEL S.A.S,73,TOLIMA,73624,ROVIRA,S,73624001,ROVIRA,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,8,ATLÁNTICO,8832,TUBARÁ,N,8832001,CUATRO BOCAS,S,S,S,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5628,SABANALARGA,N,5628004,EL SOCORRO,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23068,AYAPEL,N,23068014,PUEBLO NUEVO - POPALES,S,S,S,N,N,N
2020,3,COLOMBIA MOVIL  S.A ESP,70,SUCRE,70678,SAN BENITO ABAD,N,70678009,SAN ROQUE,S,S,S,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76736,SEVILLA,N,0,LA MELVA,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68547,PIEDECUESTA,N,68547019,LA VEGA,S,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19573,PUERTO TEJADA,N,19573008,LOS BANCOS,N,N,N,N,N,N
2020,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,76,VALLE DEL CAUCA,76130,CANDELARIA,N,76130008,VILLA GORGONA,N,N,N,N,S,N
2020,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,8,ATLÁNTICO,8372,JUAN DE ACOSTA,N,8372004,SANTA VERÓNICA,N,N,N,N,S,N
2020,4,AVANTEL S.A.S,15,BOYACÁ,15215,CORRALES,S,15215001,CORRALES,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68250,EL PEÑÓN,N,68250006,EL GODO,N,N,N,N,N,N
2020,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76248,EL CERRITO,N,76248009,SANTA ELENA,S,S,S,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70124,CAIMITO,N,70124014,NUEVA FE,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52354,IMUÉS,N,52354007,PEDREGAL,S,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13744,SIMITÍ,N,13744025,SABANA DE SAN LUIS,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19760,SOTARÁ PAISPAMBA,N,19760007,RÍO BLANCO,S,N,N,N,N,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,41,HUILA,41524,PALERMO,N,41524006,EL JUNCAL,S,S,N,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76036,ANDALUCÍA,N,76036009,MONTE HERMOSO,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27150,CARMEN DEL DARIÉN,N,0,TURRIQUITADÓ,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19110,BUENOS AIRES,N,19110007,HONDURAS,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19142,CALOTO,N,19142039,EL GUÁSIMO,N,N,N,N,N,N
2020,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,50,META,50251,EL CASTILLO,N,50251003,MIRAVALLES,N,N,N,N,N,N
2020,3,AVANTEL S.A.S,68,SANTANDER,68318,GUACA,S,68318001,GUACA,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5034,ANDES,S,5034001,ANDES,S,S,S,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47675,SALAMINA,N,47675005,EL SALAO,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19701,SANTA ROSA,S,19701001,SANTA ROSA,S,S,S,N,S,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70001,SINCELEJO,N,0,SANTA CRUZ,S,N,N,N,N,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,68,SANTANDER,68861,VÉLEZ,S,68861001,VÉLEZ,S,S,S,N,S,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17513,PÁCORA,N,17513008,LOMA HERMOSA,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23001,MONTERÍA,N,23001068,EL DOCE,S,S,S,N,S,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76054,ARGELIA,N,76054004,EL RAIZAL,N,N,N,N,N,N
