FECHA;ENERGIA-CONSUMIDA.FEM+ALCO-EXP;LINEAS DE PRODUCCION.LINEA 2.kWh dia;LINEAS DE PRODUCCION.SOLISTICA 3.kWh dia;LINEAS DE PRODUCCION.LINEA 2 - SOL 3.kWh dia;LINEAS DE PRODUCCION.LINEA 3.kWh dia;LINEAS DE PRODUCCION.LINEA 4.kWh dia;LINEAS DE PRODUCCION.LINEA 5.kWh dia;LINEAS DE PRODUCCION.LINEA 6.kWh dia;LINEAS DE PRODUCCION.LINEA 7 B&B AUX FABRICACION.kWh dia;LINEAS DE PRODUCCION.SEPPELEC 1.kWh dia;LINEAS DE PRODUCCION.SEPPELEC 2.kWh dia;LINEAS DE PRODUCCION.ANEKO.kWh dia;LINEAS DE PRODUCCION.PTAR.kWh dia;LINEAS DE PRODUCCION.PTAP.kWh dia;LINEAS DE PRODUCCION.TDF21.7.1 CUARTOS FRIOS.kWh dia;LINEAS DE PRODUCCION.FABRICACION HOTFILL.kWh dia;LINEAS DE PRODUCCION.TORRE DE ENFRIAMIENTO (PTAP).kWh dia;CONSUMO ENERGIAA ELECTRICA POR USUARIOS PIF.CONSUMO TOTAL ENTOCA.kWh dia;CONSUMO ENERGIAA ELECTRICA POR USUARIOS PIF.CONSUMO TOTAL ENERGIAA ELECTRICA FEMSA.INDICADOR.kWh dia;REFRIGERACION.GLICOL AGUA HELADA.Kwh/dia;REFRIGERACION.AGUA CLARIFICADO.Kwh/dia;REFRIGERACION.AGUA  PASTEURIZADO TORRE PASTER 1.Kwh/dia;REFRIGERACION.ENERGIAA ELECTRICA MAYEKAWA.kWh dia;REFRIGERACION.ENERGIAA ELECTRICA CLARIFICADO.kWh dia;REFRIGERACION.TOTAL CLARIFICADO.kTr;REFRIGERACION.TOTAL PASTEURIZADO.kTr;REFRIGERACION.TOTAL MAYEKAWA.kTr;REFRIGERACION.TOTAL REFRIGERACION.kTr;AIRE COMPRIMIDO.GENERACION TOTAL AIRE.KNm3/dia;AIRE COMPRIMIDO.CONSUMO AIRE FEMSA.KNm3/dia;AIRE COMPRIMIDO.ENERGIAA ELECTRICA AIRE TOTAL.kWh/dia;AIRE COMPRIMIDO.ENERGIAA ELECTRICA AIRE FEMSA.kWh/dia;MEDIDORES DE GAS.LINEA MEDIA m3/dia.;LITROS DE BEBIDA.LITROS DE BEBIDA LB.;LITROS DE BEBIDA.LITROS DE BEBIDA LB-ACUMULADO-.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 2.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 3.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 4.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 5.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 6.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 7 BIB.
26/11/2025;178.459,22;4.792,00;590;4.202,00;4.224,00;2.687,00;3.560,00;3.894,00;956;1.090,00;638;1.390,00;1.515,00;1.723,00;350;335;415;92.635,00;79.386,82;30.282,66;3.667,15;10.850,37;8.144,40;249,67;1,04;3,09;8,61;12,74;66,08;30,57;8.074,14;3.735,27;39.438,00;2.029.499,19;51.130.117,08;893.736,62;332.928,00;154.815,00;700.272,00;68.689,21;0
27/11/2025;173.686,73;5.138,00;639;4.499,00;4.373,00;2.001,00;2.039,00;3.680,00;941;1.262,00;568;1.384,00;1.575,00;1.666,00;336;348;393;89.252,00;79.175,93;25.646,34;4.669,63;7.740,60;6.452,30;219,63;1,33;2,2;7,29;10,82;59,74;29,16;7.333,05;3.579,37;38.452,00;2.029.371,25;53.159.488,33;1.080.750,72;377.856,00;149.758,93;311.184,00;127.747,57;0
28/11/2025;175.641,41;4.590,00;394;4.196,00;4.391,00;3.119,00;3.582,00;2.246,00;964;1.234,00;692;1.294,00;1.563,00;1.722,00;349;282;517;90.585,00;79.068,41;36.450,12;6.510,91;6.699,69;9.142,20;221,13;1,85;1,91;10,37;14,12;67,13;30,92;8.187,40;3.771,11;39.558,00;2.093.214,03;55.252.702,36;818.088,58;381.312,00;241.327,95;626.010,00;109.821,60;0
29/11/2025;174.485,42;4.383,00;148;4.235,00;3.999,00;3.387,00;3.680,00;1.881,00;1.072,00;1.404,00;756;1.672,00;1.504,00;1.738,00;337;280;580;84.549,00;84.150,52;38.364,74;5.332,31;6.742,27;9.845,60;244,88;1,52;1,92;10,91;14,35;68,13;31,12;8.280,52;3.782,32;39.291,00;2.360.003,94;57.612.706,30;932.822,31;307.248,00;286.848,00;746.424,00;4.854,00;0
30/11/2025;177.225,18;4.818,00;5;4.813,00;4.156,00;3.214,00;3.435,00;2.657,00;1.046,00;1.293,00;706;1.555,00;1.512,00;1.645,00;323;332;602;84.548,00;87.974,68;29.774,86;4.377,47;6.617,34;10.027,70;182,58;1,25;1,88;8,47;11,6;70,18;31,35;8.383,31;3.744,90;38.328,00;2.423.285,08;60.035.991,38;1.217.016,28;252.288,00;242.620,80;572.043,00;59.919,00;29.475,00
1/12/2025;184.398,66;5.001,00;277;4.724,00;4.074,00;3.415,00;3.771,00;3.306,00;999;1.226,00;823;1.476,00;1.490,00;1.633,00;342;88;598;96.313,00;82.992,16;46.907,90;5.943,17;915,94;9.723,50;124,32;1,69;0,26;13,34;15,29;68,18;38,26;8.503,80;4.772,01;34.024,00;2.633.013,02;2.633.013,02;1.143.374,02;230.850,00;293.760,00;782.730,00;168.792,00;1.435,00
2/12/2025;193.563,07;4.857,00;532;4.325,00;4.141,00;3.019,00;3.620,00;3.301,00;1.220,00;1.243,00;754;1.326,00;1.391,00;1.674,00;408;108;446;106.126,00;82.899,47;34.472,15;7.253,51;58,08;8.944,30;6,18;2,06;0,02;9,8;11,88;66,03;30,39;7.793,19;3.586,78;33.834,00;2.423.237,51;5.056.250,53;990.193,70;360.161,89;183.525,12;700.236,00;180.864,00;2.900,00
3/12/2025;190.453,93;4.979,00;518;4.461,00;4.156,00;2.738,00;3.398,00;4.132,00;1.007,00;1.393,00;705;1.209,00;1.332,00;1.583,00;370;335;474;103.038,00;83.425,73;33.701,78;6.001,95;9.384,05;8.904,20;279,26;1,71;2,67;9,59;13,96;69,18;31,25;8.299,14;3.748,89;34.068,00;2.462.194,36;7.518.444,89;1.104.831,87;346.410,00;155.678,88;638.996,00;186.220,80;18.865,00
4/12/2025;189.025,54;4.694,00;516;4.178,00;4.388,00;2.887,00;3.448,00;4.039,00;918;1.137,00;749;1.073,00;1.315,00;1.803,00;341;293;581;101.968,00;83.044,14;25.757,50;5.082,98;8.905,34;6.715,50;262,55;1,45;2,53;7,33;11,3;64,08;30,86;8.122,68;3.911,77;34.546,00;2.265.334,97;9.783.779,86;903.039,53;372.508,80;183.872,64;664.398,00;181.269,00;0
5/12/2025;173.861,92;3.372,00;528;2.844,00;3.050,00;3.250,00;3.595,00;3.178,00;1.025,00;794;728;757;1.063,00;1.386,00;384;282;502;97.600,00;72.775,12;15.312,36;2.735,39;7.018,60;4.291,10;199,79;0,78;2;4,36;7,13;65,98;28,93;7.919,26;3.472,33;34.465,00;1.698.773,09;11.482.552,95;426.252,45;158.592,00;263.769,60;727.116,00;141.516,00;7.705,00
